Date of Travel,City,Company,KM Travelled,Price Charged,Cost of Trip,Population,Users,Number of Males,Payments by Cash,Number of Females,Payments by Card,Average Income
2016-05-13,PHOENIX AZ,Yellow Cab,33.3,858.47,415.584,943999,6133,0,0,1,1,16132.0
2016-05-13,SACRAMENTO CA,Pink Cab,39.6,379.68,469.608,545776,7044,1,1,1,1,22071.5
2016-05-13,SAN DIEGO CA,Pink Cab,55.190000000000005,673.31,581.2,959307,69995,4,3,1,2,20497.4
2016-05-13,SAN DIEGO CA,Yellow Cab,206.39999999999998,3994.12,2734.776,959307,69995,6,2,2,6,11068.375
2016-05-13,SEATTLE WA,Pink Cab,52.160000000000004,724.38,616.528,671238,25063,1,1,1,1,22555.5
2016-05-13,SEATTLE WA,Yellow Cab,55.120000000000005,796.38,693.5964,671238,25063,3,1,0,2,8222.333333333334
2016-05-13,SILICON VALLEY,Pink Cab,20.88,316.87,244.296,1177609,27247,1,1,0,0,9581.0
2016-05-13,SILICON VALLEY,Yellow Cab,50.7,1367.63,677.7,1177609,27247,2,1,0,1,15930.5
2016-05-13,WASHINGTON DC,Pink Cab,104.17999999999999,1017.41,1100.542,418859,127001,4,3,0,1,12230.75
2016-05-13,WASHINGTON DC,Yellow Cab,497.44,10471.94,6488.1156,418859,127001,17,7,8,18,14645.88
2016-05-14,ATLANTA GA,Pink Cab,59.96,662.0,631.748,814885,24701,1,2,1,0,19576.5
2016-05-14,ATLANTA GA,Yellow Cab,128.44,2692.9,1754.4084,814885,24701,1,3,4,2,15730.8
2016-05-14,AUSTIN TX,Pink Cab,29.29,368.32,333.906,698371,14978,0,0,1,1,29193.0
2016-05-14,BOSTON MA,Pink Cab,204.75,2212.3900000000003,2263.427,248968,80021,2,2,5,5,13025.57142857143
2016-05-14,BOSTON MA,Yellow Cab,835.78,12856.55,11048.3004,248968,80021,19,16,19,22,14158.342105263158
2016-05-14,CHICAGO IL,Pink Cab,119.13,1550.65,1280.6190000000001,1955130,164468,4,0,2,6,16432.833333333332
2016-05-14,CHICAGO IL,Yellow Cab,1596.12,30074.81,20973.624,1955130,164468,44,23,28,49,16101.041666666666
2016-05-14,DALLAS TX,Pink Cab,10.7,93.53,117.64,942908,22157,2,0,0,2,17263.5
2016-05-14,DALLAS TX,Yellow Cab,148.5,3493.61,1962.5016,942908,22157,5,3,1,3,12682.333333333334
2016-05-14,DENVER CO,Pink Cab,31.64,289.71,354.368,754233,12421,0,0,1,1,23517.0
2016-05-14,DENVER CO,Yellow Cab,115.19,2636.45,1561.944,754233,12421,2,1,3,4,16777.8
2016-05-14,LOS ANGELES CA,Pink Cab,567.7,8142.52,6286.027,1595037,144132,12,12,16,16,16628.678571428572
2016-05-14,LOS ANGELES CA,Yellow Cab,1182.81,23766.88,15666.03,1595037,144132,28,22,25,31,14905.88679245283
2016-05-14,MIAMI FL,Pink Cab,41.07,484.61,468.198,1339155,17675,1,0,0,1,15760.0
2016-05-14,MIAMI FL,Yellow Cab,22.830000000000002,433.99,276.3144,1339155,17675,2,0,0,2,22857.0
2016-05-14,NASHVILLE TN,Pink Cab,39.650000000000006,409.81,440.245,327225,9270,2,1,1,2,11898.333333333334
2016-05-14,NASHVILLE TN,Yellow Cab,73.46000000000001,1213.72,993.1056000000001,327225,9270,2,2,0,0,17853.5
2016-05-14,NEW YORK NY,Pink Cab,260.69,3411.4100000000003,2782.509,8405837,302149,7,7,4,4,18311.909090909092
2016-05-14,NEW YORK NY,Yellow Cab,2619.84,89703.2,34724.8788,8405837,302149,65,41,46,70,14088.0
2016-05-14,ORANGE COUNTY,Pink Cab,31.03,372.29,359.948,1030185,12994,1,1,0,0,34074.0
2016-05-14,ORANGE COUNTY,Yellow Cab,37.629999999999995,870.85,526.2048,1030185,12994,2,1,1,2,18065.666666666668
2016-05-14,PHOENIX AZ,Pink Cab,30.45,417.93,316.68,943999,6133,0,0,1,1,13059.0
2016-05-14,PHOENIX AZ,Yellow Cab,43.05,1158.43,597.114,943999,6133,2,0,0,2,13412.5
2016-05-14,PITTSBURGH PA,Pink Cab,13.3,146.46,147.63,542085,3643,0,0,1,1,4406.0
2016-05-14,SACRAMENTO CA,Pink Cab,53.1,570.69,614.548,545776,7044,1,3,2,0,12956.0
2016-05-14,SACRAMENTO CA,Yellow Cab,77.84,1493.1599999999999,1009.0536,545776,7044,3,0,0,3,14904.666666666666
2016-05-14,SAN DIEGO CA,Pink Cab,391.82,5510.57,4383.259,959307,69995,9,5,5,9,14076.07142857143
2016-05-14,SAN DIEGO CA,Yellow Cab,257.42,5326.5,3467.2656,959307,69995,4,7,6,3,13971.8
2016-05-14,SEATTLE WA,Yellow Cab,296.09,5854.38,3806.4288,671238,25063,9,5,3,7,14726.666666666666
2016-05-14,SILICON VALLEY,Pink Cab,75.78,1073.92,898.752,1177609,27247,1,1,2,2,17060.333333333332
2016-05-14,SILICON VALLEY,Yellow Cab,75.16,1991.7399999999998,987.8879999999999,1177609,27247,2,0,0,2,13561.5
2016-05-14,WASHINGTON DC,Pink Cab,11.620000000000001,120.0,123.80199999999999,418859,127001,2,0,0,2,20442.5
2016-05-14,WASHINGTON DC,Yellow Cab,1599.84,30634.86,21307.6992,418859,127001,36,27,31,40,14531.626865671642
2016-05-15,ATLANTA GA,Pink Cab,151.61,1938.47,1691.956,814885,24701,2,3,3,2,18720.6
2016-05-15,ATLANTA GA,Yellow Cab,177.61,3959.43,2316.5208000000002,814885,24701,5,4,4,5,11484.777777777777
2016-05-15,AUSTIN TX,Pink Cab,8.33,83.34,92.463,698371,14978,1,0,0,1,17793.0
2016-05-15,AUSTIN TX,Yellow Cab,21.18,520.57,271.95120000000003,698371,14978,0,0,2,2,21309.5
2016-05-15,BOSTON MA,Pink Cab,74.72,865.08,819.518,248968,80021,2,1,2,3,16208.5
2016-05-15,BOSTON MA,Yellow Cab,645.07,9859.54,8664.084,248968,80021,19,14,8,13,14106.407407407407
2016-05-15,CHICAGO IL,Pink Cab,349.37,4409.5,3778.993,1955130,164468,5,5,8,8,14370.076923076924
2016-05-15,CHICAGO IL,Yellow Cab,1150.57,22037.75,15365.9148,1955130,164468,31,26,19,24,15851.78
2016-05-15,DALLAS TX,Pink Cab,53.12,551.65,605.004,942908,22157,1,2,1,0,6258.5
2016-05-15,DALLAS TX,Yellow Cab,152.25,3720.0099999999998,1873.6968,942908,22157,4,3,2,3,14731.166666666666
2016-05-15,DENVER CO,Pink Cab,67.4,617.7,693.8199999999999,754233,12421,1,2,1,0,17605.5
2016-05-15,DENVER CO,Yellow Cab,106.75,3173.7,1393.1039999999998,754233,12421,2,4,3,1,12288.2
2016-05-15,LOS ANGELES CA,Pink Cab,740.63,11696.21,8090.053,1595037,144132,19,12,8,15,14233.333333333334
2016-05-15,LOS ANGELES CA,Yellow Cab,893.33,18653.32,11868.804,1595037,144132,25,21,15,19,15711.75
2016-05-15,MIAMI FL,Pink Cab,36.58,442.79,369.458,1339155,17675,1,0,0,1,5917.0
2016-05-15,MIAMI FL,Yellow Cab,131.85999999999999,3453.9500000000003,1769.4096,1339155,17675,3,0,2,5,14333.6
2016-05-15,NASHVILLE TN,Pink Cab,37.97,447.09,407.209,327225,9270,1,0,2,3,13109.666666666666
2016-05-15,NASHVILLE TN,Yellow Cab,104.91999999999999,1559.42,1435.4256,327225,9270,2,2,1,1,15324.666666666666
2016-05-15,NEW YORK NY,Pink Cab,167.82,2239.4700000000003,1889.824,8405837,302149,2,3,4,3,14134.833333333334
2016-05-15,NEW YORK NY,Yellow Cab,1924.51,67545.66,25353.2784,8405837,302149,66,44,30,52,13985.645833333334
2016-05-15,ORANGE COUNTY,Pink Cab,27.5,321.22,310.75,1030185,12994,0,0,1,1,7229.0
2016-05-15,ORANGE COUNTY,Yellow Cab,115.28,2375.05,1518.5267999999999,1030185,12994,5,6,3,2,14474.625
2016-05-15,PHOENIX AZ,Yellow Cab,69.74000000000001,1911.96,925.7256,943999,6133,2,1,0,1,21944.0
2016-05-15,PITTSBURGH PA,Pink Cab,22.04,322.34,253.46,542085,3643,0,1,1,0,3257.0
2016-05-15,SACRAMENTO CA,Pink Cab,28.34,324.61,303.238,545776,7044,1,1,0,0,18469.0
2016-05-15,SAN DIEGO CA,Pink Cab,170.47,2718.1,1855.58,959307,69995,3,5,5,3,16986.625
2016-05-15,SAN DIEGO CA,Yellow Cab,297.28,6131.88,3871.4628,959307,69995,9,5,5,9,16333.642857142857
2016-05-15,SEATTLE WA,Pink Cab,64.37,766.0699999999999,741.642,671238,25063,2,2,2,2,17159.25
2016-05-15,SEATTLE WA,Yellow Cab,117.71000000000001,2271.0,1477.2,671238,25063,2,1,3,4,12871.0
2016-05-15,SILICON VALLEY,Pink Cab,67.09,895.73,742.576,1177609,27247,1,2,3,2,6251.0
2016-05-15,SILICON VALLEY,Yellow Cab,113.91,2950.32,1544.8848,1177609,27247,2,2,3,3,17937.2
2016-05-15,TUCSON AZ,Pink Cab,58.41,859.07,651.7349999999999,631442,5712,2,0,1,3,16498.333333333332
2016-05-15,TUCSON AZ,Yellow Cab,32.96,518.03,434.0928,631442,5712,2,1,0,1,9847.5
2016-05-15,WASHINGTON DC,Pink Cab,127.45,1413.81,1426.9,418859,127001,2,4,2,0,10876.75
2016-05-15,WASHINGTON DC,Yellow Cab,1328.67,25803.23,17329.894800000002,418859,127001,39,21,23,41,16211.564516129032
2016-05-16,ATLANTA GA,Pink Cab,26.88,277.17,301.056,814885,24701,1,1,0,0,14495.0
2016-05-16,ATLANTA GA,Yellow Cab,28.08,501.5,367.2864,814885,24701,0,0,1,1,3507.0
2016-05-16,AUSTIN TX,Yellow Cab,3.18,79.69,43.884,698371,14978,0,0,1,1,2513.0
2016-05-16,BOSTON MA,Yellow Cab,269.73,3863.15,3558.8112,248968,80021,9,4,5,10,14264.857142857143
2016-05-16,CHICAGO IL,Pink Cab,111.66,1267.6,1174.338,1955130,164468,1,1,3,3,10261.5
2016-05-16,CHICAGO IL,Yellow Cab,324.08,5153.57,4301.25,1955130,164468,5,7,10,8,12016.666666666666
2016-05-16,DALLAS TX,Yellow Cab,70.92,1516.49,908.1408,942908,22157,1,1,4,4,19958.2
2016-05-16,DENVER CO,Yellow Cab,6.84,185.46,87.8256,754233,12421,1,1,0,0,11515.0
2016-05-16,LOS ANGELES CA,Pink Cab,135.06,1652.92,1490.329,1595037,144132,4,2,2,4,13134.5
2016-05-16,LOS ANGELES CA,Yellow Cab,115.08999999999999,1998.22,1561.0331999999999,1595037,144132,3,1,2,4,14797.2
2016-05-16,MIAMI FL,Yellow Cab,16.38,283.31,210.3192,1339155,17675,1,1,0,0,5326.0
2016-05-16,NASHVILLE TN,Pink Cab,26.65,223.07999999999998,293.423,327225,9270,1,2,1,0,15729.5
2016-05-16,NEW YORK NY,Pink Cab,49.35,678.9100000000001,504.429,8405837,302149,1,3,2,0,13357.0
2016-05-16,NEW YORK NY,Yellow Cab,887.3,25825.48,11723.4636,8405837,302149,20,13,21,28,15022.219512195123
2016-05-16,ORANGE COUNTY,Pink Cab,62.81999999999999,840.36,663.876,1030185,12994,0,1,2,1,23200.0
2016-05-16,ORANGE COUNTY,Yellow Cab,30.07,480.67,382.4904,1030185,12994,0,0,1,1,19432.0
2016-05-16,PHOENIX AZ,Yellow Cab,18.81,454.06,246.0348,943999,6133,0,1,1,0,18006.0
2016-05-16,PITTSBURGH PA,Pink Cab,10.67,129.0,118.437,542085,3643,1,1,0,0,7862.0
2016-05-16,SAN DIEGO CA,Pink Cab,36.78,480.72999999999996,383.796,959307,69995,1,0,1,2,18584.0
2016-05-16,SAN DIEGO CA,Yellow Cab,125.4,2399.12,1603.4448,959307,69995,1,0,5,6,8838.666666666666
2016-05-16,SEATTLE WA,Pink Cab,17.85,184.26,185.64,671238,25063,0,1,1,0,23924.0
2016-05-16,SEATTLE WA,Yellow Cab,83.36,1316.87,1143.132,671238,25063,1,2,4,3,15195.6
2016-05-16,SILICON VALLEY,Pink Cab,42.92,548.82,433.492,1177609,27247,0,1,1,0,34879.0
2016-05-16,WASHINGTON DC,Yellow Cab,632.5,12359.5,8428.6176,418859,127001,16,11,8,13,16319.541666666666
2016-05-17,ATLANTA GA,Yellow Cab,79.57,1552.96,1075.776,814885,24701,1,0,2,3,17118.666666666668
2016-05-17,AUSTIN TX,Yellow Cab,41.550000000000004,907.37,569.754,698371,14978,1,1,1,1,6192.0
2016-05-17,BOSTON MA,Pink Cab,25.2,271.8,289.8,248968,80021,1,1,0,0,17384.0
2016-05-17,BOSTON MA,Yellow Cab,264.38,3549.9,3508.728,248968,80021,1,6,8,3,13755.444444444445
2016-05-17,CHICAGO IL,Pink Cab,36.2,405.18,408.276,1955130,164468,1,0,1,2,28453.5
2016-05-17,CHICAGO IL,Yellow Cab,351.52,5981.7,4496.3568,1955130,164468,12,3,4,13,16111.0
2016-05-17,DALLAS TX,Pink Cab,35.7,305.15,360.57,942908,22157,1,1,0,0,13649.0
2016-05-17,DALLAS TX,Yellow Cab,94.73,2037.8999999999999,1210.4688,942908,22157,2,3,2,1,10329.75
2016-05-17,DENVER CO,Pink Cab,31.08,346.68,363.636,754233,12421,0,0,1,1,33890.0
2016-05-17,DENVER CO,Yellow Cab,31.36,566.21,447.8208,754233,12421,0,1,1,0,21553.0
2016-05-17,LOS ANGELES CA,Pink Cab,84.7,1167.15,899.414,1595037,144132,3,2,2,3,14376.6
2016-05-17,LOS ANGELES CA,Yellow Cab,302.26,5810.33,3932.1192,1595037,144132,6,3,3,6,11308.666666666666
2016-05-17,NASHVILLE TN,Pink Cab,37.24,396.26,443.156,327225,9270,1,1,0,0,4373.0
2016-05-17,NASHVILLE TN,Yellow Cab,9.04,163.83,126.9216,327225,9270,1,0,0,1,9741.0
2016-05-17,NEW YORK NY,Pink Cab,150.45,1730.74,1626.129,8405837,302149,3,2,2,3,16135.6
2016-05-17,NEW YORK NY,Yellow Cab,727.49,22433.71,9789.5712,8405837,302149,22,12,10,20,14565.9375
2016-05-17,PHOENIX AZ,Pink Cab,3.8,39.45,44.84,943999,6133,0,0,1,1,10595.0
2016-05-17,SAN DIEGO CA,Pink Cab,45.65,640.27,471.86,959307,69995,0,2,2,0,18383.0
2016-05-17,SAN DIEGO CA,Yellow Cab,31.990000000000002,587.31,415.4784,959307,69995,2,1,1,2,17882.666666666668
2016-05-17,SEATTLE WA,Yellow Cab,78.31,1314.63,1039.9764,671238,25063,3,1,1,3,18744.75
2016-05-17,SILICON VALLEY,Pink Cab,10.53,119.31,110.565,1177609,27247,1,0,0,1,18460.0
2016-05-17,SILICON VALLEY,Yellow Cab,77.1,1835.65,1048.308,1177609,27247,2,2,2,2,14441.5
2016-05-17,TUCSON AZ,Yellow Cab,52.78,675.37,707.7336,631442,5712,0,0,2,2,8348.0
2016-05-17,WASHINGTON DC,Yellow Cab,428.71,7824.4,5581.3728,418859,127001,8,3,12,17,14783.0
2016-05-18,BOSTON MA,Pink Cab,115.97999999999999,1142.6999999999998,1255.029,248968,80021,2,2,2,2,19435.0
2016-05-18,BOSTON MA,Yellow Cab,206.37,2775.74,2759.418,248968,80021,5,5,4,4,12923.555555555555
2016-05-18,CHICAGO IL,Pink Cab,70.01,720.91,738.413,1955130,164468,1,2,2,1,10628.666666666666
2016-05-18,CHICAGO IL,Yellow Cab,341.94,5940.42,4512.786,1955130,164468,6,6,10,10,12965.0
2016-05-18,DALLAS TX,Yellow Cab,44.44,943.23,606.5268,942908,22157,3,1,0,2,8465.666666666666
2016-05-18,DENVER CO,Yellow Cab,15.68,492.27,190.0416,754233,12421,1,0,0,1,12714.0
2016-05-18,LOS ANGELES CA,Pink Cab,293.46,4207.82,3131.497,1595037,144132,6,4,7,9,17547.384615384617
2016-05-18,LOS ANGELES CA,Yellow Cab,169.72,3248.1400000000003,2264.544,1595037,144132,5,4,6,7,11241.454545454546
2016-05-18,MIAMI FL,Pink Cab,14.82,145.12,177.84,1339155,17675,1,0,0,1,16544.0
2016-05-18,NASHVILLE TN,Pink Cab,24.61,249.03,248.561,327225,9270,0,0,1,1,14520.0
2016-05-18,NEW YORK NY,Pink Cab,38.92,403.77,402.538,8405837,302149,1,1,1,1,5570.0
2016-05-18,NEW YORK NY,Yellow Cab,484.7,16660.79,6378.5112,8405837,302149,16,8,9,17,16043.92
2016-05-18,ORANGE COUNTY,Yellow Cab,67.5,1291.97,938.7719999999999,1030185,12994,1,1,1,1,11393.5
2016-05-18,SACRAMENTO CA,Yellow Cab,2.26,40.61,30.1032,545776,7044,1,1,0,0,29837.0
2016-05-18,SAN DIEGO CA,Pink Cab,75.75,1101.01,828.34,959307,69995,0,2,3,1,11517.666666666666
2016-05-18,SAN DIEGO CA,Yellow Cab,30.16,544.25,405.3504,959307,69995,1,0,0,1,16448.0
2016-05-18,SEATTLE WA,Yellow Cab,82.77,1587.1899999999998,1136.0603999999998,671238,25063,2,1,2,3,19626.75
2016-05-18,SILICON VALLEY,Pink Cab,36.72,467.52,378.216,1177609,27247,1,0,0,1,21384.0
2016-05-18,SILICON VALLEY,Yellow Cab,47.95,1068.42,672.2844,1177609,27247,1,0,1,2,19022.0
2016-05-18,WASHINGTON DC,Pink Cab,6.86,69.61,76.832,418859,127001,1,1,0,0,10706.0
2016-05-18,WASHINGTON DC,Yellow Cab,543.06,8508.16,7109.8032,418859,127001,8,8,12,12,15182.7
2016-05-19,ATLANTA GA,Pink Cab,41.3,496.94,429.52,814885,24701,0,0,1,1,2291.0
2016-05-19,ATLANTA GA,Yellow Cab,33.5,670.3299999999999,461.772,814885,24701,1,0,1,2,10085.5
2016-05-19,AUSTIN TX,Pink Cab,14.7,150.4,169.05,698371,14978,0,1,1,0,26921.0
2016-05-19,AUSTIN TX,Yellow Cab,20.34,519.27,263.6064,698371,14978,1,0,0,1,18288.0
2016-05-19,BOSTON MA,Pink Cab,70.9,721.6300000000001,807.5039999999999,248968,80021,1,1,2,2,17939.0
2016-05-19,BOSTON MA,Yellow Cab,314.15,4167.83,4122.6708,248968,80021,7,6,6,7,13454.923076923076
2016-05-19,CHICAGO IL,Pink Cab,69.38,718.07,740.68,1955130,164468,2,3,2,1,17816.5
2016-05-19,CHICAGO IL,Yellow Cab,523.71,9201.35,7062.4392,1955130,164468,13,7,9,15,14140.863636363636
2016-05-19,DALLAS TX,Pink Cab,46.230000000000004,452.13,478.326,942908,22157,2,0,0,2,16911.0
2016-05-19,DALLAS TX,Yellow Cab,69.97,1540.69,875.0219999999999,942908,22157,2,2,1,1,10578.0
2016-05-19,LOS ANGELES CA,Pink Cab,323.43,4552.51,3517.318,1595037,144132,9,7,6,8,16183.2
2016-05-19,LOS ANGELES CA,Yellow Cab,275.27,5196.92,3568.104,1595037,144132,7,5,8,10,13259.4
2016-05-19,NASHVILLE TN,Pink Cab,38.76,404.35,387.6,327225,9270,1,1,0,0,7934.0
2016-05-19,NEW YORK NY,Pink Cab,69.21000000000001,718.94,807.768,8405837,302149,2,1,3,4,11289.4
2016-05-19,NEW YORK NY,Yellow Cab,887.16,30352.77,11752.2336,8405837,302149,23,14,20,29,13755.558139534884
2016-05-19,ORANGE COUNTY,Pink Cab,67.95,679.71,761.5,1030185,12994,0,2,2,0,20924.5
2016-05-19,PHOENIX AZ,Pink Cab,22.8,236.73,237.12,943999,6133,0,1,1,0,11985.0
2016-05-19,SACRAMENTO CA,Pink Cab,22.68,245.71,231.336,545776,7044,1,0,0,1,7057.0
2016-05-19,SAN DIEGO CA,Pink Cab,112.25999999999999,1543.01,1251.488,959307,69995,1,3,4,2,13188.4
2016-05-19,SAN DIEGO CA,Yellow Cab,125.74000000000001,2220.14,1740.9228,959307,69995,5,0,1,6,12442.0
2016-05-19,SEATTLE WA,Pink Cab,30.42,354.11,358.956,671238,25063,1,0,0,1,12560.0
2016-05-19,SEATTLE WA,Yellow Cab,85.25,1694.35,1152.8952,671238,25063,2,1,2,3,14844.75
2016-05-19,SILICON VALLEY,Pink Cab,49.78,562.32,524.932,1177609,27247,1,3,3,1,20015.25
2016-05-19,SILICON VALLEY,Yellow Cab,53.77,1258.7,695.6964,1177609,27247,1,1,1,1,11524.0
2016-05-19,WASHINGTON DC,Pink Cab,12.21,128.7,126.984,418859,127001,0,0,1,1,3962.0
2016-05-19,WASHINGTON DC,Yellow Cab,728.98,11545.9,9741.0228,418859,127001,19,8,10,21,15111.896551724138
2016-05-20,ATLANTA GA,Yellow Cab,185.34,3468.25,2365.5156,814885,24701,4,5,2,1,11755.333333333334
2016-05-20,BOSTON MA,Pink Cab,3.36,36.92,35.616,248968,80021,0,0,1,1,12412.0
2016-05-20,BOSTON MA,Yellow Cab,345.44,4496.76,4510.116,248968,80021,10,6,5,9,16418.066666666666
2016-05-20,CHICAGO IL,Pink Cab,74.14999999999999,791.89,825.6690000000001,1955130,164468,3,1,1,3,18134.25
2016-05-20,CHICAGO IL,Yellow Cab,497.93,8970.06,6600.8712,1955130,164468,16,10,8,14,16749.333333333332
2016-05-20,DALLAS TX,Pink Cab,13.8,142.58,161.46,942908,22157,0,1,1,0,22863.0
2016-05-20,DALLAS TX,Yellow Cab,45.739999999999995,955.98,572.8872,942908,22157,2,1,1,2,15821.666666666666
2016-05-20,DENVER CO,Pink Cab,14.17,150.0,151.619,754233,12421,0,0,1,1,16339.0
2016-05-20,LOS ANGELES CA,Pink Cab,214.79,3076.46,2361.362,1595037,144132,5,3,3,5,13823.375
2016-05-20,LOS ANGELES CA,Yellow Cab,293.19,5479.55,3896.0616,1595037,144132,8,9,11,10,15359.052631578947
2016-05-20,MIAMI FL,Yellow Cab,25.95,636.38,336.70439999999996,1339155,17675,1,1,1,1,15022.5
2016-05-20,NASHVILLE TN,Pink Cab,73.69,784.3199999999999,812.38,327225,9270,0,1,2,1,15346.0
2016-05-20,NASHVILLE TN,Yellow Cab,16.32,233.82,221.2992,327225,9270,1,0,0,1,3882.0
2016-05-20,NEW YORK NY,Pink Cab,31.740000000000002,335.53,372.27,8405837,302149,3,2,0,1,12634.0
2016-05-20,NEW YORK NY,Yellow Cab,855.81,28883.21,11254.3152,8405837,302149,24,15,14,23,17297.342105263157
2016-05-20,ORANGE COUNTY,Pink Cab,14.4,162.05,159.84,1030185,12994,0,0,1,1,22826.0
2016-05-20,PHOENIX AZ,Pink Cab,11.1,112.8,111.0,943999,6133,0,0,1,1,9547.0
2016-05-20,PITTSBURGH PA,Pink Cab,74.33,956.6800000000001,797.598,542085,3643,1,1,1,1,12241.5
2016-05-20,SACRAMENTO CA,Pink Cab,11.0,108.76,111.1,545776,7044,1,1,0,0,18155.0
2016-05-20,SACRAMENTO CA,Yellow Cab,42.18,873.19,607.392,545776,7044,0,1,1,0,21672.0
2016-05-20,SAN DIEGO CA,Pink Cab,10.89,137.24,125.235,959307,69995,1,1,0,0,21877.0
2016-05-20,SAN DIEGO CA,Yellow Cab,247.88,4589.38,3202.3559999999998,959307,69995,6,5,3,4,19535.333333333332
2016-05-20,SEATTLE WA,Pink Cab,29.58,337.83,331.296,671238,25063,1,0,0,1,30558.0
2016-05-20,SEATTLE WA,Yellow Cab,33.52,600.69,471.2736,671238,25063,2,1,0,1,20459.0
2016-05-20,SILICON VALLEY,Yellow Cab,49.78,1184.89,641.34,1177609,27247,1,0,1,2,24504.0
2016-05-20,TUCSON AZ,Pink Cab,29.9,345.8,319.93,631442,5712,0,0,1,1,2208.0
2016-05-20,WASHINGTON DC,Pink Cab,6.97,68.04,75.247,418859,127001,1,2,1,0,12086.5
2016-05-20,WASHINGTON DC,Yellow Cab,328.57,5187.67,4398.7008,418859,127001,14,8,8,14,16316.545454545454
2016-05-21,ATLANTA GA,Pink Cab,14.55,178.61,151.32,814885,24701,1,0,0,1,24160.0
2016-05-21,ATLANTA GA,Yellow Cab,139.57,3116.58,1811.2344,814885,24701,6,1,0,5,15490.666666666666
2016-05-21,AUSTIN TX,Pink Cab,54.74,770.38,595.861,698371,14978,3,1,0,2,11345.666666666666
2016-05-21,AUSTIN TX,Yellow Cab,47.739999999999995,995.63,637.0728,698371,14978,1,0,1,2,10318.5
2016-05-21,BOSTON MA,Pink Cab,180.68,2251.26,1975.558,248968,80021,7,3,2,6,12375.333333333334
2016-05-21,BOSTON MA,Yellow Cab,1162.4,17135.07,15524.335200000001,248968,80021,27,19,25,33,12295.692307692309
2016-05-21,CHICAGO IL,Pink Cab,370.45,4511.98,3938.774,1955130,164468,8,4,5,9,16932.384615384617
2016-05-21,CHICAGO IL,Yellow Cab,1943.18,35418.89,25807.032,1955130,164468,58,38,24,44,16022.975609756097
2016-05-21,DALLAS TX,Pink Cab,33.32,312.97,399.84,942908,22157,1,0,0,1,16622.0
2016-05-21,DALLAS TX,Yellow Cab,166.9,5609.719999999999,2211.6108,942908,22157,4,5,5,4,17079.666666666668
2016-05-21,DENVER CO,Yellow Cab,18.87,457.98,251.3484,754233,12421,1,0,0,1,17676.0
2016-05-21,LOS ANGELES CA,Pink Cab,765.99,10237.66,8472.272,1595037,144132,23,16,14,21,14370.945945945947
2016-05-21,LOS ANGELES CA,Yellow Cab,889.62,18324.67,11745.2256,1595037,144132,26,22,19,23,14824.133333333333
2016-05-21,MIAMI FL,Yellow Cab,82.3,2242.7200000000003,1074.048,1339155,17675,2,2,4,4,21462.5
2016-05-21,NASHVILLE TN,Yellow Cab,33.3,631.46,471.528,327225,9270,1,0,0,1,24058.0
2016-05-21,NEW YORK NY,Pink Cab,220.85999999999999,2991.86,2518.754,8405837,302149,7,4,4,7,17801.18181818182
2016-05-21,NEW YORK NY,Yellow Cab,2369.6,81811.27,31129.047599999998,8405837,302149,62,49,53,66,15502.0
2016-05-21,ORANGE COUNTY,Pink Cab,38.7,545.0899999999999,399.51,1030185,12994,0,2,2,0,25102.5
2016-05-21,ORANGE COUNTY,Yellow Cab,8.4,273.55,117.936,1030185,12994,1,0,0,1,19767.0
2016-05-21,PHOENIX AZ,Yellow Cab,27.14,644.3,351.7344,943999,6133,0,0,1,1,19318.0
2016-05-21,PITTSBURGH PA,Yellow Cab,21.21,478.68,297.7884,542085,3643,0,0,1,1,8121.0
2016-05-21,SACRAMENTO CA,Pink Cab,41.58,547.83,478.92599999999993,545776,7044,2,0,0,2,25702.0
2016-05-21,SACRAMENTO CA,Yellow Cab,3.18,59.61,38.9232,545776,7044,0,1,1,0,24601.0
2016-05-21,SAN DIEGO CA,Pink Cab,319.64,4628.9,3534.134,959307,69995,8,4,6,10,20679.85714285714
2016-05-21,SAN DIEGO CA,Yellow Cab,278.22,5621.88,3598.8348,959307,69995,9,4,4,9,14765.846153846154
2016-05-21,SEATTLE WA,Pink Cab,38.160000000000004,443.48,448.416,671238,25063,1,1,1,1,13761.0
2016-05-21,SEATTLE WA,Yellow Cab,133.26,2404.11,1787.7,671238,25063,1,3,3,1,10100.25
2016-05-21,SILICON VALLEY,Pink Cab,93.37,1236.82,1027.061,1177609,27247,2,1,4,5,12134.5
2016-05-21,SILICON VALLEY,Yellow Cab,169.21,4976.46,2241.8376,1177609,27247,3,1,2,4,20457.8
2016-05-21,TUCSON AZ,Pink Cab,24.72,283.0,271.92,631442,5712,0,1,1,0,3268.0
2016-05-21,TUCSON AZ,Yellow Cab,34.34,484.41,432.684,631442,5712,0,1,1,0,11027.0
2016-05-21,WASHINGTON DC,Pink Cab,284.27,3883.51,3017.884,418859,127001,7,4,3,6,14969.0
2016-05-21,WASHINGTON DC,Yellow Cab,1508.3799999999999,32480.54,19854.2808,418859,127001,39,25,24,38,17725.14285714286
2016-05-22,ATLANTA GA,Pink Cab,15.12,172.92,178.416,814885,24701,0,1,1,0,29651.0
2016-05-22,ATLANTA GA,Yellow Cab,41.910000000000004,802.29,534.0156,814885,24701,0,0,2,2,7000.5
2016-05-22,AUSTIN TX,Pink Cab,31.36,566.7,357.504,698371,14978,0,0,1,1,7797.0
